Genotyping_Sample_ID	Cluster	EV.1	EV.2	EV.3	EV.4	EV.5
MSSM_97	B	0.017053	-0.080853	-0.007037	-0.033822	5.6e-05
MSSM_98	B	0.018619	-0.071977	0.002592	-0.00967	0.033371
MSSM_99	D	-0.063383	9.4e-05	0.015348	0.011415	0.02598
MSSM_BP_10	E	0.02136	0.004592	-0.003252	0.038078	0.000824
MSSM_BP_11	A	0.021281	0.034766	0.002797	-0.020154	-0.00345
MSSM_BP_12	G	0.020158	-0.006711	0.000894	0.046052	-0.005654
MSSM_BP_13	A	0.021311	0.022641	0.003056	-0.018225	-0.007156
MSSM_BP_14	G	0.0213	-0.006556	0.006738	0.040984	-0.013422
MSSM_BP_15	A	0.021706	0.028063	0.001481	-0.007485	0.010518
MSSM_BP_16	A	0.021455	0.024698	-0.004073	-0.029996	-0.012588
MSSM_BP_17	B	0.020097	-0.034038	-0.001172	-0.037341	0.00227
MSSM_BP_18	A	0.020857	0.031523	0.003564	-0.009311	0.031421
MSSM_BP_19	A	0.021931	0.031856	0.006981	0.002679	0.003011
MSSM_BP_2	A	0.021888	0.030125	0.003214	-0.037178	-0.005346
MSSM_BP_20	E	0.021537	0.029996	0.003569	0.006909	-0.021816
MSSM_BP_23	D	-0.078534	0.000872	0.027448	-0.002058	-0.01185
MSSM_BP_24	A	0.021564	0.030561	0.004865	-0.01199	0.006871
MSSM_BP_4	E	0.021233	0.016983	0.007204	0.017839	0.00113
MSSM_BP_5	A	0.020525	0.039255	-0.003956	-0.02443	0.006036
MSSM_BP_6	G	0.019672	-0.025148	0.001713	0.089544	-0.068512
MSSM_BP_7	A	0.021414	0.036286	0.003682	-0.038389	0.00801
MSSM_BP_8	D	-0.080281	0.000633	0.011324	-0.004374	-0.025255
MSSM_BP_9	A	0.022026	0.027496	0.004062	-0.018787	0.012027
PENN_1	D	-0.077629	0.000849	0.031798	0.003819	0.000139
PENN_10	D	-0.08324	0.000774	0.025518	0.002133	-0.004462
PENN_100	E	0.021516	0.027137	0.006212	0.025445	0.011562
PENN_101	A	0.021104	0.01017	0.00082	-0.013382	-0.011822
PENN_103	A	0.021204	0.028201	-0.000321	0.000878	-0.001824
PENN_104	A	0.021076	0.034619	-0.001148	-0.046073	-0.022768
PENN_105	F	0.019128	-0.04362	0.005367	0.108069	-0.01242
PENN_106	F	0.02025	-0.021501	0.000528	0.094681	-0.011034
PENN_107	A	0.021045	0.03243	0.001068	-0.024067	0.010104
PENN_108	A	0.02067	0.027859	0.002978	-0.034369	0.027303
PENN_109	E	0.021095	0.027047	0.002929	-0.008544	-0.04022
PENN_11	A	0.020957	0.032978	-0.001191	0.008786	-0.000495
PENN_12	D	-0.079397	0.000926	0.025725	-0.001475	0.002025
PENN_14	F	0.018954	-0.038772	0.006651	0.096047	-0.01275
PENN_16	A	0.021026	0.024432	0.001367	-0.013344	-0.012357
PENN_17	F	0.020045	-0.029361	0.005727	0.082805	-0.015436
PENN_18	A	0.021732	0.019337	0.006872	0.007137	0.008729
PENN_19	A	0.021639	0.02535	0.003041	0.008679	-0.003079
PENN_2	D	-0.081262	0.000757	0.026448	0.00139	0.002395
PENN_20	A	0.021233	0.004922	0.003905	-0.031548	-0.007068
PENN_21	E	0.020806	0.020747	0.001256	0.019453	-0.008166
PENN_22	D	-0.086346	0.001009	0.03203	-0.00225	-0.010501
PENN_23	A	0.021311	0.036306	0.004281	-0.041072	0.025869
PENN_24	A	0.021201	0.02323	0.001567	0.003135	0.009935
PENN_25	D	-0.083319	0.000983	0.025862	-0.006492	-0.012751
PENN_26	D	-0.077114	0.000735	0.02631	0.008005	-0.00458
PENN_27	A	0.021593	0.022745	0.000705	-0.013045	0.008809
PENN_28	A	0.021879	0.024114	0.004467	-0.019098	0.010516
PENN_3	A	0.021765	0.03152	0.002156	-0.021558	0.000469
PENN_31	E	0.020459	0.022745	-0.004286	0.018489	-0.022663
PENN_32	E	0.021297	0.023247	0.000256	0.001758	-0.016321
PENN_33	A	0.021613	0.014172	0.006325	-0.012994	0.016942
PENN_34	E	0.02058	0.029653	0.000165	0.002786	-0.025646
PENN_35	A	0.021022	0.017791	0.001003	-0.013657	-0.013445
PENN_37	D	-0.077727	0.00061	0.018137	0.001592	-0.005391
PENN_38	A	0.02153	0.031064	0.00186	-0.014653	0.008581
PENN_39	A	0.021322	0.016012	0.003692	-0.010288	-0.023021
PENN_4	A	0.021207	0.029313	0.003003	-0.036703	0.021836
PENN_40	E	0.021664	0.020316	0.004685	0.013098	-0.007364
PENN_41	A	0.021239	0.037329	0.005877	-0.014035	0.015467
PENN_42	E	0.021278	0.028392	0.00271	-0.003941	-0.019628
PENN_43	A	0.021774	0.030482	0.005039	-0.028134	0.018308
PENN_44	A	0.021322	0.029458	0.001733	-0.009725	0.009156
PENN_45	A	0.021841	0.020678	0.008375	-0.004463	0.002423
PENN_46	F	0.017438	-0.043755	-0.006374	0.109704	-0.010716
PENN_47	D	-0.087842	0.000905	0.028569	-0.000148	-0.010145
PENN_48	E	0.02118	0.020362	0.004651	0.033279	0.034087
PENN_49	B	0.01829	-0.076302	0.004016	-0.039447	0.028262
PENN_5	A	0.021859	0.036224	0.00332	-0.042459	-0.038501
PENN_50	A	0.021113	0.022957	0.003623	-0.011269	-0.007543
PENN_51	A	0.02158	0.031014	0.002229	-0.008409	0.019793
PENN_52	B	0.01873	-0.072715	0.005543	-0.034862	-0.012485
PENN_53	D	-0.081866	8e-04	0.027229	0.001425	-0.013424
PENN_54	E	0.021321	0.032481	-0.001114	0.01576	-0.0124
PENN_55	A	0.021901	0.015477	0.004988	-0.0024	-0.017224
PENN_56	E	0.021485	0.026999	0.003966	0.026773	-0.008477
PENN_58	A	0.020814	0.037978	0.002642	-0.007002	-0.007679
PENN_59	B	0.02008	-0.032753	0.004403	-0.021099	0.002305
PENN_6	F	0.019938	-0.033662	0.005159	0.080787	0.00755
PENN_61	A	0.021343	0.022037	0.004449	0.002725	0.006524
PENN_62	B	0.018008	-0.089945	-0.000492	0.009174	0.009116
PENN_63	A	0.021495	0.033819	-0.002316	-0.055693	-0.02684
PENN_64	A	0.021412	0.029099	-0.002902	0.010745	0.029901
PENN_65	A	0.021213	0.031226	5e-06	-0.013458	-0.010668
PENN_66	A	0.021307	0.027404	0.003053	-0.011475	0.022609
PENN_67	A	0.021291	0.023607	-0.001464	0.007609	0.007478
PENN_68	A	0.021685	0.027445	0.007417	-0.004549	0.001359
PENN_69	A	0.021521	0.022028	0.004071	0.00061	0.029541
PENN_7	G	0.020911	-0.006297	0.007939	0.034621	0.001711
PENN_70	E	0.021241	0.028468	0.004781	0.012829	-0.014509
PENN_71	E	0.02188	0.02662	0.004058	0.023818	-0.002999
PENN_73	A	0.020967	0.027012	0.00229	-0.004604	0.009147
PENN_74	A	0.020957	0.024894	-0.001989	-0.013565	-0.02335
PENN_76	B	0.01924	-0.08264	0.007562	-0.015856	0.01118
PENN_77	A	0.021042	0.032043	0.000543	0.008944	0.019376
