"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PCT_CHIMERAS","CODING_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_Dropout","GC_Dropout","Read_Pair_Duplicates","Read_Pair_Optical_Duplicates"
"MSSM_RNA_PFC_162",64563993,64563993,62954290,0.024443,225439326,0.429829,0.532046,0.866815,0.605637,5.477661,3.359605,2500524,866795
"MSSM_RNA_PFC_163",85040315,85040315,82806752,0.013437,797493048,0.743973,0.24375,0.644694,0.364657,4.745297,7.304759,20303340,8387501
"MSSM_RNA_PFC_164",66066180,66066180,64316391,0.019783,492700883,0.464815,0.449381,0.814753,0.577324,4.165082,3.222901,3657439,1936638
"MSSM_RNA_PFC_165",82519448,82519448,80960038,0.014078,1166736413,0.447689,0.42439,1.050679,0.403171,4.6013,2.737426,8759734,3225318
"MSSM_RNA_PFC_166",94210945,94210945,92263689,0.015379,1225882227,0.435208,0.536204,0.983166,0.531491,4.236314,2.756863,8280281,2974252
"MSSM_RNA_PFC_167",98964356,98964356,86001544,0.009531,2042446248,0.420407,0.808616,0.77617,0.99109,37.460656,2.706166,13386208,11299979
"MSSM_RNA_PFC_168",64303672,64303672,62070327,0.016931,514835368,0.524716,0.384137,0.799508,0.496238,5.662653,3.35119,5798456,3182723
"MSSM_RNA_PFC_16",102634578,102634578,98556290,0.016186,1274050527,0.427025,0.580016,0.813031,0.700332,13.352476,0.395421,5041226,3703123
"MSSM_RNA_PFC_170",66316544,66316544,64364683,0.016408,952885193,0.440299,0.669929,0.767192,0.870337,6.153955,1.804678,3854832,1585320
"MSSM_RNA_PFC_171",70643643,70643643,68911627,0.016298,447050107,0.476263,0.397983,0.83614,0.479578,4.623873,3.223995,3506039,1520949
"MSSM_RNA_PFC_172",91288122,91288122,89245042,0.016209,857377324,0.418572,0.456455,0.827295,0.583791,4.396074,2.974302,3415743,1482881
"MSSM_RNA_PFC_173",68301965,68301965,66224191,0.017474,549577430,0.46063,0.484288,0.79279,0.655305,8.275354,2.124926,5835851,3420583
