Gene Symbol,Affymetrix ID,Module Assigned
1300018I05Rik /// LOC445272,1451082_at,NA
1300018I05Rik /// LOC445272,1423681_at,NA
1300018I17Rik,1430437_a_at,NA
1300018I17Rik,1439390_at,NA
1300018I17Rik,1426828_at,NA
1300019J08Rik,1427370_at,NA
1500001A10Rik,1425774_at,NA
1500001H12Rik,1421349_x_at,blue
1500001H12Rik,1421348_a_at,blue
1500001H12Rik,1424100_s_at,blue
1500001H12Rik,1451235_at,blue
1500001L15Rik,1438318_x_at,NA
1500001L15Rik,1428226_at,NA
1500001M20Rik,1428684_at,NA
1500002I11Rik,1443706_at,NA
1500002M01Rik,1423480_at,NA
1500002M01Rik,1423479_at,purple
1500002M01Rik,1451010_at,NA
1500003O03Rik,1450007_at,NA
1500003O03Rik,1420809_a_at,grey
1500003O03Rik,1420810_at,grey
1500003O22Rik,1416559_at,NA
1500005A01Rik,1418474_at,grey
1500005I02Rik,1437890_at,NA
1500005I02Rik,1428303_at,NA
1500005K14Rik,1456603_at,NA
1500006O09Rik,1448461_a_at,NA
1500006O09Rik /// 9230101K24Rik,1453621_at,NA
1500010J02Rik,1437713_x_at,NA
1500010J02Rik,1423656_x_at,NA
1500010J02Rik,1423655_a_at,NA
1500010M16Rik,1428272_at,NA
1500011H22Rik,1424192_at,NA
1500011J06Rik,1451640_a_at,NA
1500011J06Rik,1454074_a_at,pink
1500015O10Rik,1423261_at,NA
1500019G21Rik,1416894_at,grey
1500026D16Rik,1435733_x_at,NA
1500026D16Rik,1439453_x_at,NA
1500026D16Rik,1417427_at,NA
1500031H01Rik,1424871_s_at,NA
1500031H04Rik,1425293_a_at,NA
1500031L02Rik,1417840_at,NA
1500031M22Rik,1426290_at,NA
1500031M22Rik,1426291_at,NA
1500031N24Rik,1427093_at,NA
1500032D16Rik,1424628_a_at,NA
1500032H18Rik,1426133_a_at,NA
1500032H18Rik,1439261_x_at,NA
1500032L24Rik,1452584_at,NA
1500034E06Rik,1428526_at,NA
1500034J01Rik,1429039_s_at,NA
1500034J01Rik,1429038_at,grey
1500034J01Rik,1434281_at,NA
1500034J20Rik,1451217_a_at,NA
1500035H01Rik,1417474_at,NA
1500040F11Rik,1427880_at,NA
1500040F11Rik,1437134_at,NA
1500040F11Rik,1452613_at,NA
1500040F11Rik,1430326_s_at,NA
1500041N16Rik,1418732_s_at,NA
1500041O16Rik,1435527_at,NA
1600002H07Rik,1428041_at,NA
1600010O03Rik,1426407_at,black
1600010O03Rik,1426408_at,pink
1600012F09Rik,1449557_at,NA
1600012F09Rik,1419660_at,brown
1600012F09Rik,1419661_at,NA
1600012H06Rik,1428218_a_at,NA
1600012H06Rik,1428217_at,NA
1600012K10Rik,1448902_at,NA
1600013P15Rik,1419290_at,NA
1600013P15Rik,1432384_a_at,NA
1600014C10Rik,1424444_a_at,NA
